symbol,date,strategy,scanner_detection_phase,scan_interval_ms,schwab_api_latency_est_ms,advisory_dedup_cooldown_s,poller_interval_s,total_pipeline_latency_s,discovery_classification,notes
AZI,2026-02-10,catalyst_momentum,OPEN,1500,200,300,60,61.7,LATE_DISCOVERY,"Detected after move started; change already elevated when first scored"
ABP,2026-02-10,catalyst_momentum,OPEN,1500,200,300,60,61.7,LATE_DISCOVERY,"High scan count (29 approvals) — detected late but re-scored many times"
PHIO,2026-02-10,premarket_breakout,OPEN,1500,200,300,60,61.7,LATE_DISCOVERY,"2.2s hold = chased; detected after breakout"
EVMN,2026-02-10,premarket_breakout,OPEN,1500,200,300,60,61.7,ON_TIME,"Premarket gapper — TradingView injection likely provided early signal"
CCCX,2026-02-10,catalyst_momentum,OPEN,1500,200,300,60,61.7,LATE_DISCOVERY,"Detected after momentum already underway"
SPOG,2026-02-10,catalyst_momentum,OPEN,1500,200,300,60,61.7,LATE_DISCOVERY,"Detected late; hard stop triggered = chased extended move"
MNTN,2026-02-11,catalyst_momentum,OPEN,1500,200,300,60,61.7,LATE_DISCOVERY,"Long hold (823s) time-stopped = slow grind, not breakout"
SUNE,2026-02-11,catalyst_momentum,OPEN,1500,200,300,60,61.7,LATE_DISCOVERY,"5 trades on same symbol; discovered after initial move"
NCI,2026-02-11,catalyst_momentum,OPEN,1500,200,300,60,61.7,LATE_DISCOVERY,"24% winner = caught a runner, but entry was already mid-move"
WOLF,2026-02-19,catalyst_momentum,OPEN,1500,200,300,60,61.7,LATE_DISCOVERY,"Time-stopped at 608s; momentum exhausted"
MNTN,2026-02-19,catalyst_momentum,OPEN,1500,200,300,60,61.7,LATE_DISCOVERY,"Second session; time-stopped again"
FSLY,2026-02-19,premarket_breakout,OPEN,1500,200,300,60,61.7,ON_TIME,"Premarket scanner; 4.33% win = early detection worked"
JZXN,2026-02-11,catalyst_momentum,OPEN,1500,200,300,60,61.7,LATE_DISCOVERY,"1.3s hold; immediate exit = detected too late"
NVCR,2026-02-19,premarket_breakout,OPEN,1500,200,300,60,61.7,ON_TIME,"Premarket breakout; 4.87% win = early detection"
UOKA,2026-02-09,rejected,OPEN,1500,200,300,60,61.7,LATE_DISCOVERY,"Detected but NO_MOMENTUM_DATA — no execution pipeline"
LIMN,2026-02-09,rejected,OPEN,1500,200,300,60,61.7,LATE_DISCOVERY,"Detected but NO_MOMENTUM_DATA — no execution pipeline"
RIVN,2026-02-09,catalyst_momentum,OPEN,1500,200,300,60,61.7,LATE_DISCOVERY,"62 approvals; heavily re-scored but timing unclear"
ZSL,2026-02-09,catalyst_momentum,OPEN,1500,200,300,60,61.7,LATE_DISCOVERY,"200 approvals; ETF — slow drift not breakout"
JZXN,2026-02-09,catalyst_momentum,OPEN,1500,200,300,60,61.7,LATE_DISCOVERY,"49 approvals; small-cap mover detected after move"
EVMN,2026-02-09,catalyst_momentum,OPEN,1500,200,300,60,61.7,LATE_DISCOVERY,"35 approvals; detected after move started"
RIOT,2026-02-09,catalyst_momentum,OPEN,1500,200,300,60,61.7,LATE_DISCOVERY,"33 approvals; crypto proxy — trend follower"
PATH,2026-02-09,catalyst_momentum,OPEN,1500,200,300,60,61.7,LATE_DISCOVERY,"28 approvals; detected after move"
CLSK,2026-02-09,catalyst_momentum,OPEN,1500,200,300,60,61.7,LATE_DISCOVERY,"27 approvals; crypto proxy"
LUNR,2026-02-09,catalyst_momentum,OPEN,1500,200,300,60,61.7,LATE_DISCOVERY,"22 approvals; space sector mover"
HIMS,2026-02-09,catalyst_momentum,OPEN,1500,200,300,60,61.7,LATE_DISCOVERY,"20 approvals; telehealth mover"
JOBY,2026-02-09,catalyst_momentum,OPEN,1500,200,300,60,61.7,LATE_DISCOVERY,"18 approvals; eVTOL sector"
