indicator,description,threshold,precision_est,recall_est,false_signal_rate_est,latency_improvement_est_s,data_source,feasibility,notes
volume_acceleration_15s,vol_15s / vol_60s_avg,>3.0,0.62,0.78,0.38,30-60,Schwab snapshot (cumulative only),LOW,"Schwab provides cumulative daily volume only — no intrabar resolution. Need Databento tick data for sub-minute volume windows."
volume_acceleration_30s,vol_30s / vol_120s_avg,>2.5,0.55,0.82,0.45,20-45,Schwab snapshot (cumulative only),LOW,"Same limitation. Rolling state tracks 20 observations at 1.5s interval = 30s window max but volume is cumulative not per-bar."
spread_compression,spread_now / spread_5min_avg,<0.7,0.48,0.65,0.52,15-30,Schwab bid/ask available,MEDIUM,"Schwab quotes include bid/ask. Rolling spread tracking is feasible with current 1.5s scan interval. Need to add spread history to RollingState."
range_compression,range_30s / range_120s,<0.5,0.41,0.58,0.59,10-25,Requires tick-level high/low tracking,LOW,"Current rolling window is 20 observations (30s). Need longer window for 120s range baseline. Schwab only provides session high/low."
order_book_pressure,bid_size / ask_size,>2.0,0.52,0.71,0.48,20-45,Not available from Schwab,NONE,"Schwab API does not provide L2/depth data. Databento MBP-10 available but only for XNAS symbols cached locally."
velocity_acceleration,velocity_delta over 3 observations,>0.15,0.58,0.73,0.42,15-30,Available now (rolling.velocity),HIGH,"Already tracked in RollingState. Can compute acceleration (velocity of velocity) with minimal code change."
rvol_surge,rvol crossing 2.0 from below,>2.0 cross-up,0.65,0.68,0.35,20-40,Available now (quote.rvol),HIGH,"RVOL already computed by Schwab. Cross-up detection requires state tracking but is straightforward."
hod_break_rate,hod_breaks in last 5 observations,>=2,0.55,0.61,0.45,15-30,Available now (rolling.hod_breaks),HIGH,"Already tracked. Need rate (breaks per time window) not just cumulative count."
momentum_slope,momentum_score delta over 5 obs,>0.1 rising,0.60,0.70,0.40,20-40,Available now (rolling.momentum),HIGH,"Momentum score exists. Need slope/derivative tracking. Very feasible."
change_pct_acceleration,change_pct delta between scans,>0.3pp per scan,0.50,0.75,0.50,10-20,Available now (quote.change_pct),HIGH,"Already available. Track inter-scan delta to detect acceleration."
volume_surge_ratio,rolling.volume_surge(),>1.5,0.53,0.72,0.47,15-30,Available now (rolling.volume_surge),HIGH,"Already implemented in RollingState. Currently used in momentum_score but not surfaced as independent signal."
premarket_gap_flag,gap_pct from previous close,>5.0%,0.72,0.45,0.28,pre-open,Available (quote.gap_pct + TV),HIGH,"TradingView gapper injection already works during premarket. Strong predictor but not an intraday timing signal."
